Investigation,Category,Test
Radiology,Leg,LEG Knee lateral
Radiology,Leg,LEG Lower leg including knee
Radiology,Leg,LEG Lower leg including ankle
Radiology,Leg,LEG Ankle joint
Radiology,Leg,LEG Foot AP
Radiology,Leg,LEG Foot oblique
Radiology,Leg,LEG Foot lateral
Radiology,Chest,CHEST PA 
Radiology,Chest,CHEST Lateral 
Radiology,Chest,CHEST AP
Radiology,Chest,CHEST apical lordotic
Radiology,Abdomen,ABDOMEN AP Supine
Radiology,Abdomen,ABDOMEN PA/AP standing erect
Radiology,Abdomen,ABDOMEN lateral decubitus
Radiology,Abdomen,ABDOMEN supine urography
Radiology,Abdomen,ABDOMEN urinary bladder
Radiology,Head,HEAD Skull PA
Radiology,Head,HEAD Skull AP
Radiology,Head,HEAD Skull semiaxial (Towne’s)
Radiology,Head,HEAD Skull lateral
Radiology,Head,HEAD Sinus and face lateral
Radiology,Head,HEAD Nose lateral
Radiology,Head,HEAD Mandible AP
Radiology,Head,HEAD Mandible PA
Radiology,Head,HEAD Mandible oblique lateral
Radiology,Spine,SPINE Cervical AP/PA
Radiology,Spine,SPINE Cervical Lateral
Radiology,Spine,SPINE Thoracic AP/PA
Radiology,Spine,SPINE Thoracic Lateral
Radiology,Spine,SPINE Lumbo-sacral AP/PA
Radiology,Spine,SPINE Lumbo-sacral Lateral
Radiology,Special X Rays,BARIUM STUDY Barium swallow
Radiology,Special X Rays,BARIUM STUDY Barium meal
Radiology,Special X Rays,BARIUM STUDY Barium Enema
Radiology,Special X Rays,RGU
Radiology,Special X Rays,KUB
Radiology,Other,CT 
Radiology,Other,MRI
